FID,Trans_Type,Purchase_T,City,SIG,EMD,Street_No,Main_No,Sub_No,Complex_Na,Lease_L__R,Road_Type,Area_㎡_,Land_Area_,Floor,Contract_Y,Contract_M,Contract_D,Price_1000,Deposit_10,Rent_10000,Constructe,Street_Add,Compiled_A,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호
446,연립다세대,매매,부산광역시,금정구,부곡동,541-1,0541,0001,대성빌라, , ,79.56,46.98,3,2010,7,6,10450, , ,2003,동부곡로 32-6,부산광역시 금정구 부곡동 동부곡로 32-6,부산광역시 금정구 부곡동 동부곡로 32-6,390697,193777,정좌표,2641010900105410001,새주소,부산광역시 금정구 동부곡로 32-6,부산광역시 금정구 부곡동 541-1,46303
502,연립다세대,매매,부산광역시,금정구,부곡동,545,0545,0000,신아빌라, , ,39.58,20.68,4,2010,10,9,5500, , ,1997,동부곡로42번길 49,부산광역시 금정구 부곡동 동부곡로42번길 49,부산광역시 금정구 부곡동 동부곡로42번길 49,390651,193751,정좌표,2641010900105450000,새주소,부산광역시 금정구 동부곡로42번길 49,부산광역시 금정구 부곡동 545,46303
503,연립다세대,매매,부산광역시,금정구,부곡동,545,0545,0000,신아빌라, , ,78.4,40.97,3,2010,11,22,11400, , ,1997,동부곡로42번길 49,부산광역시 금정구 부곡동 동부곡로42번길 49,부산광역시 금정구 부곡동 동부곡로42번길 49,390651,193751,정좌표,2641010900105450000,새주소,부산광역시 금정구 동부곡로42번길 49,부산광역시 금정구 부곡동 545,46303
526,연립다세대,매매,부산광역시,금정구,부곡동,670-6,0670,0006,은아빌라, , ,50.42,33.1,4,2010,8,24,6000, , ,1991,동부곡로27번다길 23-2,부산광역시 금정구 부곡동 동부곡로27번다길 23-2,부산광역시 금정구 부곡동 동부곡로27번다길 23-2,390854,193875,정좌표,2641010900106700006,새주소,부산광역시 금정구 동부곡로27번다길 23-2,부산광역시 금정구 부곡동 670-6,46270
532,연립다세대,매매,부산광역시,금정구,부곡동,543,0543,0000,청용아트빌, , ,84.95,50.22,3,2010,6,4,11100, , ,2002,동부곡로42번길 44,부산광역시 금정구 부곡동 동부곡로42번길 44,부산광역시 금정구 부곡동 동부곡로42번길 44,390680,193748,정좌표,2641010900105430000,새주소,부산광역시 금정구 동부곡로42번길 44,부산광역시 금정구 부곡동 543,46303
533,연립다세대,매매,부산광역시,금정구,부곡동,543,0543,0000,청용아트빌, , ,48.67,28.77,4,2010,6,11,6000, , ,2002,동부곡로42번길 44,부산광역시 금정구 부곡동 동부곡로42번길 44,부산광역시 금정구 부곡동 동부곡로42번길 44,390680,193748,정좌표,2641010900105430000,새주소,부산광역시 금정구 동부곡로42번길 44,부산광역시 금정구 부곡동 543,46303
534,연립다세대,매매,부산광역시,금정구,부곡동,382-2,0382,0002,청재빌, , ,68.81,53.58,2,2010,5,26,8500, , ,2004,동부곡로27번길 38-19,부산광역시 금정구 부곡동 동부곡로27번길 38-19,부산광역시 금정구 부곡동 동부곡로27번길 38-19,390736,194011,정좌표,2641010900103820002,새주소,부산광역시 금정구 동부곡로27번길 38-19,부산광역시 금정구 부곡동 382-2,46270
1100,연립다세대,매매,부산광역시,남구,감만동,39-57,0039,0057,감만파크빌라1동, , ,58.7,24.25,4,2010,8,23,7250, , ,2002,석포로 50-12,부산광역시 남구 감만동 석포로 50-12,부산광역시 남구 감만동 석포로 50-12,390114,182401,정좌표,2629011100100390057,새주소,부산광역시 남구 석포로 50-12,부산광역시 남구 감만동 39-57,48540
1101,연립다세대,매매,부산광역시,남구,감만동,39-57,0039,0057,감만파크빌라1동, , ,58.7,24.25,3,2010,12,13,7800, , ,2002,석포로 50-12,부산광역시 남구 감만동 석포로 50-12,부산광역시 남구 감만동 석포로 50-12,390114,182401,정좌표,2629011100100390057,새주소,부산광역시 남구 석포로 50-12,부산광역시 남구 감만동 39-57,48540
1102,연립다세대,매매,부산광역시,남구,감만동,39-45,0039,0045,감만파크빌라2동, , ,59.48,23.29,3,2010,12,15,6000, , ,2003,석포로56번길 18,부산광역시 남구 감만동 석포로56번길 18,부산광역시 남구 감만동 석포로56번길 18,390130,182399,정좌표,2629011100100390042,새주소,부산광역시 남구 석포로56번길 18,부산광역시 남구 감만동 39-42,48540
1103,연립다세대,매매,부산광역시,남구,감만동,29-305,0029,0305,그랜드빌라, , ,74.67,42.2,2,2010,10,5,8800, , ,2000,석포로64번길 69-1,부산광역시 남구 감만동 석포로64번길 69-1,부산광역시 남구 감만동 석포로64번길 69-1,390201,182186,정좌표,2629011100100290305,새주소,부산광역시 남구 석포로64번길 69-1,부산광역시 남구 감만동 29-305,48539
1112,연립다세대,매매,부산광역시,남구,감만동,29-235,0029,0235,대유빌라, , ,52.07,21.43,1,2010,3,7,5200, , ,2003,석포로58번길 38,부산광역시 남구 감만동 석포로58번길 38,부산광역시 남구 감만동 석포로58번길 38,390176,182297,정좌표,2629011100100290235,새주소,부산광역시 남구 석포로58번길 38,부산광역시 남구 감만동 29-235,48540
1113,연립다세대,매매,부산광역시,남구,감만동,21-22,0021,0022,동경하이츠, , ,51.96,28.44,1,2010,4,30,6800, , ,2003,석포로26번길 11-1,부산광역시 남구 감만동 석포로26번길 11-1,부산광역시 남구 감만동 석포로26번길 11-1,389930,182319,정좌표,2629011100100210022,새주소,부산광역시 남구 석포로26번길 11-1,부산광역시 남구 감만동 21-22,48541
1114,연립다세대,매매,부산광역시,남구,감만동,21-22,0021,0022,동경하이츠, , ,53.89,28.47,2,2010,9,1,7400, , ,2003,석포로26번길 11-1,부산광역시 남구 감만동 석포로26번길 11-1,부산광역시 남구 감만동 석포로26번길 11-1,389930,182319,정좌표,2629011100100210022,새주소,부산광역시 남구 석포로26번길 11-1,부산광역시 남구 감만동 21-22,48541
1115,연립다세대,매매,부산광역시,남구,감만동,21-22,0021,0022,동경하이츠, , ,43.43,19.75,2,2010,11,26,5100, , ,2003,석포로26번길 11-1,부산광역시 남구 감만동 석포로26번길 11-1,부산광역시 남구 감만동 석포로26번길 11-1,389930,182319,정좌표,2629011100100210022,새주소,부산광역시 남구 석포로26번길 11-1,부산광역시 남구 감만동 21-22,48541
1117,연립다세대,매매,부산광역시,남구,감만동,39-67,0039,0067,동림(39-67), , ,40.84,14.13,2,2010,9,27,3000, , ,2002,석포로 50-8,부산광역시 남구 감만동 석포로 50-8,부산광역시 남구 감만동 석포로 50-8,390116,182415,정좌표,2629011100100390067,새주소,부산광역시 남구 석포로 50-8,부산광역시 남구 감만동 39-67,48540
1119,연립다세대,매매,부산광역시,남구,감만동,21-19,0021,0019,동성하이츠, , ,37.93,17.81,3,2010,12,8,4000, , ,2003,석포로30번길 10,부산광역시 남구 감만동 석포로30번길 10,부산광역시 남구 감만동 석포로30번길 10,389936,182328,정좌표,2629011100100210019,새주소,부산광역시 남구 석포로30번길 10,부산광역시 남구 감만동 21-19,48541
1122,연립다세대,매매,부산광역시,남구,감만동,39-59,0039,0059,미창(1동), , ,49.46,21.47,3,2010,8,1,5300, , ,2001,석포로 50-13,부산광역시 남구 감만동 석포로 50-13,부산광역시 남구 감만동 석포로 50-13,390114,182373,정좌표,2629011100100390059,새주소,부산광역시 남구 석포로 50-13,부산광역시 남구 감만동 39-59,48540
1123,연립다세대,매매,부산광역시,남구,감만동,39-82,0039,0082,미창(2동), , ,45.11,17.7,4,2010,2,22,4000, , ,2001,석포로 50-14,부산광역시 남구 감만동 석포로 50-14,부산광역시 남구 감만동 석포로 50-14,390113,182385,정좌표,2629011100100390082,새주소,부산광역시 남구 석포로 50-14,부산광역시 남구 감만동 39-82,48540
1124,연립다세대,매매,부산광역시,남구,감만동,39-82,0039,0082,미창(2동), , ,42.18,16.55,3,2010,5,12,4300, , ,2001,석포로 50-14,부산광역시 남구 감만동 석포로 50-14,부산광역시 남구 감만동 석포로 50-14,390113,182385,정좌표,2629011100100390082,새주소,부산광역시 남구 석포로 50-14,부산광역시 남구 감만동 39-82,48540
1136,연립다세대,매매,부산광역시,남구,감만동,3-338,0003,0338,신한주택(3-338), , ,32.68,31.5,2,2010,5,5,2500, , ,1986,양지골로287번길 27,부산광역시 남구 감만동 양지골로287번길 27,부산광역시 남구 감만동 양지골로287번길 27,389991,182144,정좌표,2629011100100030338,새주소,부산광역시 남구 양지골로287번길 27,부산광역시 남구 감만동 3-338,48545
1139,연립다세대,매매,부산광역시,남구,감만동,3-107,0003,0107,지정그린빌라, , ,54.34,17,2,2010,6,11,5700, , ,2002,양지골로 303,부산광역시 남구 감만동 양지골로 303,부산광역시 남구 감만동 양지골로 303,390106,182122,정좌표,2629011100100030107,새주소,부산광역시 남구 양지골로 303,부산광역시 남구 감만동 3-107,48545
1140,연립다세대,매매,부산광역시,남구,감만동,3-107,0003,0107,지정그린빌라, , ,54.34,17,3,2010,8,7,5000, , ,2002,양지골로 303,부산광역시 남구 감만동 양지골로 303,부산광역시 남구 감만동 양지골로 303,390106,182122,정좌표,2629011100100030107,새주소,부산광역시 남구 양지골로 303,부산광역시 남구 감만동 3-107,48545
1141,연립다세대,매매,부산광역시,남구,감만동,30-29,0030,0029,지정빌라, , ,59.87,23.88,4,2010,4,7,7000, , ,2002,석포로26번가길 40,부산광역시 남구 감만동 석포로26번가길 40,부산광역시 남구 감만동 석포로26번가길 40,390145,182311,정좌표,2629011100100300029,새주소,부산광역시 남구 석포로26번가길 40,부산광역시 남구 감만동 30-29,48540
1142,연립다세대,매매,부산광역시,남구,감만동,30-29,0030,0029,지정빌라, , ,59.08,23.88,1,2010,4,26,6000, , ,2002,석포로26번가길 40,부산광역시 남구 감만동 석포로26번가길 40,부산광역시 남구 감만동 석포로26번가길 40,390145,182311,정좌표,2629011100100300029,새주소,부산광역시 남구 석포로26번가길 40,부산광역시 남구 감만동 30-29,48540
1143,연립다세대,매매,부산광역시,남구,감만동,33-200,0033,0200,하나빌, , ,58.14,21.41,2,2010,4,1,6250, , ,2002,석포로56번길 13,부산광역시 남구 감만동 석포로56번길 13,부산광역시 남구 감만동 석포로56번길 13,390153,182411,정좌표,2629011100100330200,새주소,부산광역시 남구 석포로56번길 13,부산광역시 남구 감만동 33-200,48540
1146,연립다세대,매매,부산광역시,남구,감만동,26-6,0026,0006,화평빌리지B, , ,55.695,21.35,3,2010,10,31,5500, , ,2003,석포로32번길 16,부산광역시 남구 감만동 석포로32번길 16,부산광역시 남구 감만동 석포로32번길 16,389956,182329,정좌표,2629011100100200046,새주소,부산광역시 남구 석포로32번길 16,부산광역시 남구 감만동 20-46,48541
1147,연립다세대,매매,부산광역시,남구,감만동,20-48,0020,0048,화평빌리지D, , ,34.46,15.5,3,2010,1,13,2700, , ,2003,석포로32번길 16,부산광역시 남구 감만동 석포로32번길 16,부산광역시 남구 감만동 석포로32번길 16,389956,182329,정좌표,2629011100100200046,새주소,부산광역시 남구 석포로32번길 16,부산광역시 남구 감만동 20-46,48541
3622,연립다세대,매매,부산광역시,동래구,칠산동,37-1,0037,0001,건성빌라, , ,53.79,34,3,2010,7,30,6500, , ,1994,동래로159번길 141,부산광역시 동래구 칠산동 동래로159번길 141,부산광역시 동래구 칠산동 동래로159번길 141,390617,191778,정좌표,2626010300100370001,새주소,부산광역시 동래구 동래로159번길 141,부산광역시 동래구 칠산동 37-1,47801
3627,연립다세대,매매,부산광역시,동래구,칠산동,5-2,0005,0002,"수정그린빌라A,B동", , ,55.02,43.87,4,2010,7,23,7000, , ,1996,칠산로39번길 24-12,부산광역시 동래구 칠산동 칠산로39번길 24-12,부산광역시 동래구 칠산동 칠산로39번길 24-12,390696,191654,정좌표,2626010300100050002,새주소,부산광역시 동래구 칠산로39번길 24-12,부산광역시 동래구 칠산동 5-2,47806
3628,연립다세대,매매,부산광역시,동래구,칠산동,5-2,0005,0002,"수정그린빌라A,B동", , ,71,46.34,1,2010,9,20,6600, , ,1996,칠산로39번길 24-12,부산광역시 동래구 칠산동 칠산로39번길 24-12,부산광역시 동래구 칠산동 칠산로39번길 24-12,390696,191654,정좌표,2626010300100050002,새주소,부산광역시 동래구 칠산로39번길 24-12,부산광역시 동래구 칠산동 5-2,47806
3635,연립다세대,매매,부산광역시,동래구,칠산동,57-6,0057,0006,우영빌리젠트34호, , ,33,17.25,2,2010,8,18,5000, , ,2003,동래로159번길 120,부산광역시 동래구 칠산동 동래로159번길 120,부산광역시 동래구 칠산동 동래로159번길 120,390513,191738,정좌표,2626010300100570006,새주소,부산광역시 동래구 동래로159번길 120,부산광역시 동래구 칠산동 57-6,47805
3636,연립다세대,매매,부산광역시,동래구,칠산동,81-4,0081,0004,유흥그린파크빌라, , ,58.69,31.18,4,2010,5,26,7000, , ,1994,칠산로60번길 15,부산광역시 동래구 칠산동 칠산로60번길 15,부산광역시 동래구 칠산동 칠산로60번길 15,390541,191583,정좌표,2626010300100810004,새주소,부산광역시 동래구 칠산로60번길 15,부산광역시 동래구 칠산동 81-4,47806
3637,연립다세대,매매,부산광역시,동래구,칠산동,4,0004,0000,정화빌라B동, , ,59.04,43.09,3,2010,11,1,7300, , ,1992,칠산로39번가길 10,부산광역시 동래구 칠산동 칠산로39번가길 10,부산광역시 동래구 칠산동 칠산로39번가길 10,390714,191692,정좌표,2626010300100040025,새주소,부산광역시 동래구 칠산로39번가길 10,부산광역시 동래구 칠산동 4-25,47806
4304,연립다세대,매매,부산광역시,부산진구,양정동,15-10,0015,0010,대덕빌라, , ,59.76,28.95,1,2010,3,18,7500, , ,1994,양연로34번길 15,부산광역시 부산진구 양정동 양연로34번길 15,부산광역시 부산진구 양정동 양연로34번길 15,389365,187895,정좌표,2623010100100150010,새주소,부산광역시 부산진구 양연로34번길 15,부산광역시 부산진구 양정동 15-10,47226
4366,연립다세대,매매,부산광역시,부산진구,양정동,103-12,0103,0012,양정반명, , ,71.28,43.31,4,2010,5,26,8700, , ,1997,양정로15번길 29,부산광역시 부산진구 양정동 양정로15번길 29,부산광역시 부산진구 양정동 양정로15번길 29,389029,187973,정좌표,2623010100101030012,새주소,부산광역시 부산진구 양정로15번길 29,부산광역시 부산진구 양정동 103-12,47220
4367,연립다세대,매매,부산광역시,부산진구,양정동,103-12,0103,0012,양정반명, , ,82.11,49.89,2,2010,9,6,12500, , ,1997,양정로15번길 29,부산광역시 부산진구 양정동 양정로15번길 29,부산광역시 부산진구 양정동 양정로15번길 29,389029,187973,정좌표,2623010100101030012,새주소,부산광역시 부산진구 양정로15번길 29,부산광역시 부산진구 양정동 103-12,47220
4716,연립다세대,매매,부산광역시,북구,구포동,1030-78,1030,0078,강남그린빌라, , ,68.23,42.78,2,2010,1,30,6900, , ,1997,가람로24번길 15,부산광역시 북구 구포동 가람로24번길 15,부산광역시 북구 구포동 가람로24번길 15,381821,191252,정좌표,2632010500110250002,새주소,부산광역시 북구 가람로24번길 15,부산광역시 북구 구포동 1025-2,46585
4717,연립다세대,매매,부산광역시,북구,구포동,1030-78,1030,0078,강남그린빌라, , ,68.23,42.78,3,2010,6,4,6900, , ,1997,가람로24번길 15,부산광역시 북구 구포동 가람로24번길 15,부산광역시 북구 구포동 가람로24번길 15,381821,191252,정좌표,2632010500110250002,새주소,부산광역시 북구 가람로24번길 15,부산광역시 북구 구포동 1025-2,46585
4784,연립다세대,매매,부산광역시,북구,구포동,1030-77,1030,0077,낙동빌라, , ,69.97,31.89,2,2010,10,7,6600, , ,1996,가람로24번길 16,부산광역시 북구 구포동 가람로24번길 16,부산광역시 북구 구포동 가람로24번길 16,381809,191230,정좌표,2632010500110300077,새주소,부산광역시 북구 가람로24번길 16,부산광역시 북구 구포동 1030-77,46585
4798,연립다세대,매매,부산광역시,북구,구포동,1030-4,1030,0004,대교빌라, , ,80.75,34.81,2,2010,3,22,6200, , ,1996,가람로24번길 12,부산광역시 북구 구포동 가람로24번길 12,부산광역시 북구 구포동 가람로24번길 12,381797,191233,정좌표,2632010500110300004,새주소,부산광역시 북구 가람로24번길 12,부산광역시 북구 구포동 1030-4,46585
4799,연립다세대,매매,부산광역시,북구,구포동,1030-4,1030,0004,대교빌라, , ,76.24,32.8,1,2010,6,3,4100, , ,1996,가람로24번길 12,부산광역시 북구 구포동 가람로24번길 12,부산광역시 북구 구포동 가람로24번길 12,381797,191233,정좌표,2632010500110300004,새주소,부산광역시 북구 가람로24번길 12,부산광역시 북구 구포동 1030-4,46585
4800,연립다세대,매매,부산광역시,북구,구포동,1030-4,1030,0004,대교빌라, , ,80.75,34.74,1,2010,10,18,7310, , ,1996,가람로24번길 12,부산광역시 북구 구포동 가람로24번길 12,부산광역시 북구 구포동 가람로24번길 12,381797,191233,정좌표,2632010500110300004,새주소,부산광역시 북구 가람로24번길 12,부산광역시 북구 구포동 1030-4,46585
4873,연립다세대,매매,부산광역시,북구,구포동,1001-7,1001,0007,동우빌라(1001-7), , ,58.81,26.92,3,2010,7,9,7300, , ,2001,낙동북로663번길 42,부산광역시 북구 구포동 낙동북로663번길 42,부산광역시 북구 구포동 낙동북로663번길 42,381953,191160,정좌표,2632010500110010007,새주소,부산광역시 북구 낙동북로663번길 42,부산광역시 북구 구포동 1001-7,46588
5819,연립다세대,매매,부산광역시,사상구,학장동,213-3,0213,0003,경복그린빌라, , ,67.64,40.72,4,2010,2,16,6300, , ,1995,학장로236번길 13-10,부산광역시 사상구 학장동 학장로236번길 13-10,부산광역시 사상구 학장동 학장로236번길 13-10,381557,184641,정좌표,2653010700102130003,새주소,부산광역시 사상구 학장로236번길 13-10,부산광역시 사상구 학장동 213-3,47047
5820,연립다세대,매매,부산광역시,사상구,학장동,213-9,0213,0009,경화빌라B동, , ,72.54,48.31,2,2010,4,14,7100, , ,1997,학장로236번길 1-13,부산광역시 사상구 학장동 학장로236번길 1-13,부산광역시 사상구 학장동 학장로236번길 1-13,381538,184646,정좌표,2653010700102130009,새주소,부산광역시 사상구 학장로236번길 1-13,부산광역시 사상구 학장동 213-9,47047
5821,연립다세대,매매,부산광역시,사상구,학장동,249-5,0249,0005,동양빌라(249-5), , ,68.02,36.87,3,2010,3,8,7300, , ,1997,학장로236번길 1-7,부산광역시 사상구 학장동 학장로236번길 1-7,부산광역시 사상구 학장동 학장로236번길 1-7,381524,184680,정좌표,2653010700102490005,새주소,부산광역시 사상구 학장로236번길 1-7,부산광역시 사상구 학장동 249-5,47047
5822,연립다세대,매매,부산광역시,사상구,학장동,213-10,0213,0010,애림빌라, , ,56.95,29.99,4,2010,9,13,7000, , ,1997,학장로236번길 1-11,부산광역시 사상구 학장동 학장로236번길 1-11,부산광역시 사상구 학장동 학장로236번길 1-11,381532,184659,정좌표,2653010700102130010,새주소,부산광역시 사상구 학장로236번길 1-11,부산광역시 사상구 학장동 213-10,47047
5824,연립다세대,매매,부산광역시,사상구,학장동,213-4,0213,0004,풍영그린빌라, , ,55.73,27.3,2,2010,5,17,6000, , ,1995,학장로236번길 13-6,부산광역시 사상구 학장동 학장로236번길 13-6,부산광역시 사상구 학장동 학장로236번길 13-6,381531,184624,정좌표,2653010700102130004,새주소,부산광역시 사상구 학장로236번길 13-6,부산광역시 사상구 학장동 213-4,47047
5825,연립다세대,매매,부산광역시,사상구,학장동,213-4,0213,0004,풍영그린빌라, , ,62.58,30.66,1,2010,9,2,8000, , ,1995,학장로236번길 13-6,부산광역시 사상구 학장동 학장로236번길 13-6,부산광역시 사상구 학장동 학장로236번길 13-6,381531,184624,정좌표,2653010700102130004,새주소,부산광역시 사상구 학장로236번길 13-6,부산광역시 사상구 학장동 213-4,47047
5826,연립다세대,매매,부산광역시,사상구,학장동,213-6,0213,0006,학산그린빌라, , ,64.35,32.75,3,2010,6,14,5500, , ,1995,학장로236번길 13-8,부산광역시 사상구 학장동 학장로236번길 13-8,부산광역시 사상구 학장동 학장로236번길 13-8,381549,184635,정좌표,2653010700102130006,새주소,부산광역시 사상구 학장로236번길 13-8,부산광역시 사상구 학장동 213-6,47047
6569,연립다세대,매매,부산광역시,사하구,장림동,727-57,0727,0057,(727-57), , ,76.32,58.58,5,2010,3,3,9000, , ,2003,장평로189번안길 38,부산광역시 사하구 장림동 장평로189번안길 38,부산광역시 사하구 장림동 장평로189번안길 38,379588,177882,정좌표,2638010500107270057,새주소,부산광역시 사하구 장평로189번안길 38,부산광역시 사하구 장림동 727-57,49474
6573,연립다세대,매매,부산광역시,사하구,장림동,325-9,0325,0009,건아맨션, , ,51.57,55.5,2,2010,7,8,4500, , ,1981,장림번영로37번길 24,부산광역시 사하구 장림동 장림번영로37번길 24,부산광역시 사하구 장림동 장림번영로37번길 24,379545,177652,정좌표,2638010500103250009,새주소,부산광역시 사하구 장림번영로37번길 24,부산광역시 사하구 장림동 325-9,49475
6580,연립다세대,매매,부산광역시,사하구,장림동,325-50,0325,0050,삼용주택, , ,68.56,68.56,2,2010,4,19,5000, , ,1982,장림번영로37번길 20,부산광역시 사하구 장림동 장림번영로37번길 20,부산광역시 사하구 장림동 장림번영로37번길 20,379556,177617,정좌표,2638010500103250050,새주소,부산광역시 사하구 장림번영로37번길 20,부산광역시 사하구 장림동 325-50,49475
6581,연립다세대,매매,부산광역시,사하구,장림동,325-50,0325,0050,삼용주택, , ,54.18,54.18,2,2010,10,9,5000, , ,1982,장림번영로37번길 20,부산광역시 사하구 장림동 장림번영로37번길 20,부산광역시 사하구 장림동 장림번영로37번길 20,379556,177617,정좌표,2638010500103250050,새주소,부산광역시 사하구 장림번영로37번길 20,부산광역시 사하구 장림동 325-50,49475
6617,연립다세대,매매,부산광역시,사하구,장림동,717,0717,0000,장림(717), , ,19.11,19.23,1,2010,11,1,1200, , ,1988,장림로181번길 19,부산광역시 사하구 장림동 장림로181번길 19,부산광역시 사하구 장림동 장림로181번길 19,379559,177792,정좌표,2638010500107170000,새주소,부산광역시 사하구 장림로181번길 19,부산광역시 사하구 장림동 717,49474
7150,연립다세대,매매,부산광역시,서구,아미동2가,225-136,0225,0136,세신빌라, , ,55.59,24.45,4,2010,11,8,6350, , ,2001,옥천로 164,부산광역시 서구 아미동2가 옥천로 164,부산광역시 서구 아미동2가 옥천로 164,383349,179752,정좌표,2614011600102250136,새주소,부산광역시 서구 옥천로 164,부산광역시 서구 아미동2가 225-136,49243
7152,연립다세대,매매,부산광역시,서구,아미동2가,216-1,0216,0001,천주, , ,28.12,20.99,1,2010,12,15,2500, , ,1985,까치고개로 159,부산광역시 서구 아미동2가 까치고개로 159,부산광역시 서구 아미동2가 까치고개로 159,383532,179753,정좌표,2614011600102160001,새주소,부산광역시 서구 까치고개로 159,부산광역시 서구 아미동2가 216-1,49240
8051,연립다세대,매매,부산광역시,수영구,남천동,74-55,0074,0055,남천(A), , ,65.295,53.64,1,2010,2,1,7000, , ,1994,수영로393번길 12-5,부산광역시 수영구 남천동 수영로393번길 12-5,부산광역시 수영구 남천동 수영로393번길 12-5,391953,184587,정좌표,2650010500100740055,새주소,부산광역시 수영구 수영로393번길 12-5,부산광역시 수영구 남천동 74-55,48317
8052,연립다세대,매매,부산광역시,수영구,남천동,74-55,0074,0055,남천(A), , ,67.635,55.57,4,2010,2,22,10300, , ,1994,수영로393번길 12-5,부산광역시 수영구 남천동 수영로393번길 12-5,부산광역시 수영구 남천동 수영로393번길 12-5,391953,184587,정좌표,2650010500100740055,새주소,부산광역시 수영구 수영로393번길 12-5,부산광역시 수영구 남천동 74-55,48317
8068,연립다세대,매매,부산광역시,수영구,남천동,72-10,0072,0010,동호, , ,124.22,85.1,3,2010,10,15,15200, , ,1983,남천서로19번길 8,부산광역시 수영구 남천동 남천서로19번길 8,부산광역시 수영구 남천동 남천서로19번길 8,391890,184723,정좌표,2650010500100720010,새주소,부산광역시 수영구 남천서로19번길 8,부산광역시 수영구 남천동 72-10,48317
8070,연립다세대,매매,부산광역시,수영구,남천동,391,0391,0000,럭키(가), , ,64.5475,60.63,2,2010,8,6,12150, , ,1983,수영로383번나길 3,부산광역시 수영구 남천동 수영로383번나길 3,부산광역시 수영구 남천동 수영로383번나길 3,391802,184566,정좌표,2650010500103910000,새주소,부산광역시 수영구 수영로383번나길 3,부산광역시 수영구 남천동 391,48318
8071,연립다세대,매매,부산광역시,수영구,남천동,391-6,0391,0006,럭키(나), , ,67.86,59.5,2,2010,1,4,10800, , ,1983,수영로383번나길 3,부산광역시 수영구 남천동 수영로383번나길 3,부산광역시 수영구 남천동 수영로383번나길 3,391802,184566,정좌표,2650010500103910000,새주소,부산광역시 수영구 수영로383번나길 3,부산광역시 수영구 남천동 391,48318
8072,연립다세대,매매,부산광역시,수영구,남천동,391-6,0391,0006,럭키(나), , ,74.46,64.8,3,2010,1,10,10850, , ,1983,수영로383번나길 3,부산광역시 수영구 남천동 수영로383번나길 3,부산광역시 수영구 남천동 수영로383번나길 3,391802,184566,정좌표,2650010500103910000,새주소,부산광역시 수영구 수영로383번나길 3,부산광역시 수영구 남천동 391,48318
8078,연립다세대,매매,부산광역시,수영구,남천동,73-24,0073,0024,새남천빌라, , ,72.34,40.74,3,2010,2,3,11000, , ,2003,남천서로13번길 20,부산광역시 수영구 남천동 남천서로13번길 20,부산광역시 수영구 남천동 남천서로13번길 20,391924,184635,정좌표,2650010500100730024,새주소,부산광역시 수영구 남천서로13번길 20,부산광역시 수영구 남천동 73-24,48317
8079,연립다세대,매매,부산광역시,수영구,남천동,73-24,0073,0024,새남천빌라, , ,40.74,22.95,5,2010,6,27,6000, , ,2003,남천서로13번길 20,부산광역시 수영구 남천동 남천서로13번길 20,부산광역시 수영구 남천동 남천서로13번길 20,391924,184635,정좌표,2650010500100730024,새주소,부산광역시 수영구 남천서로13번길 20,부산광역시 수영구 남천동 73-24,48317
8080,연립다세대,매매,부산광역시,수영구,남천동,73-24,0073,0024,새남천빌라, , ,50.74,28.58,4,2010,8,18,8300, , ,2003,남천서로13번길 20,부산광역시 수영구 남천동 남천서로13번길 20,부산광역시 수영구 남천동 남천서로13번길 20,391924,184635,정좌표,2650010500100730024,새주소,부산광역시 수영구 남천서로13번길 20,부산광역시 수영구 남천동 73-24,48317
8081,연립다세대,매매,부산광역시,수영구,남천동,73-24,0073,0024,새남천빌라, , ,72.34,40.74,3,2010,10,13,11500, , ,2003,남천서로13번길 20,부산광역시 수영구 남천동 남천서로13번길 20,부산광역시 수영구 남천동 남천서로13번길 20,391924,184635,정좌표,2650010500100730024,새주소,부산광역시 수영구 남천서로13번길 20,부산광역시 수영구 남천동 73-24,48317
8096,연립다세대,매매,부산광역시,수영구,남천동,73-8,0073,0008,주림빌라, , ,76.17,42.63,4,2010,5,5,10800, , ,1997,남천서로19번길 13-4,부산광역시 수영구 남천동 남천서로19번길 13-4,부산광역시 수영구 남천동 남천서로19번길 13-4,391917,184671,정좌표,2650010500100730008,새주소,부산광역시 수영구 남천서로19번길 13-4,부산광역시 수영구 남천동 73-8,48317
8115,연립다세대,매매,부산광역시,수영구,남천동,489-8,0489,0008,해광빌라, , ,164.32,99.83,1,2010,5,7,14000, , ,1991,수영로383번길 77,부산광역시 수영구 남천동 수영로383번길 77,부산광역시 수영구 남천동 수영로383번길 77,391780,184783,정좌표,2650010500104890008,새주소,부산광역시 수영구 수영로383번길 77,부산광역시 수영구 남천동 489-8,48318
8116,연립다세대,매매,부산광역시,수영구,남천동,489-8,0489,0008,해광빌라, , ,118.2,72.94,4,2010,6,8,14700, , ,1991,수영로383번길 77,부산광역시 수영구 남천동 수영로383번길 77,부산광역시 수영구 남천동 수영로383번길 77,391780,184783,정좌표,2650010500104890008,새주소,부산광역시 수영구 수영로383번길 77,부산광역시 수영구 남천동 489-8,48318
